ecount_prod_cd,ecount_prod_des,cafe24_product_no,cafe24_product_code,cafe24_product_name,similarity_score,ecount_out_price2
(1)800빠찌링스텐,◈자석도어캐치(자석 빠찌링) 스텐(소),914,P0000BJE,스텐 접시 양날피스,32.73,1400.0000000000
(1)800사륜로라,◈행가용 (사륜 로라),1210,P0000BUO,슬림도어<br>유니크 슬림 슬라이딩<br>오로라,40.0,20700.0000000000
(1)800사포120,◈사포 (폐파) 120방,1224,P0000BVC,연동도어<br>미닫이형 노아<br>YT-120X | YT-120Y,45.0,1000.0000000000
(1)800사포220,◈사포 (폐파) 220방,1110,P0000BQS,플렉스톤<br>스톤 슬레이트 보드<br>1.5~2T x 610 x 1220,49.09,1000.0000000000
(1)800사포320,◈사포 (폐파) 320방,1362,P0000CAK,우주<br>키즈도어 YK-020,36.0,1000.0000000000
(1)800사포A원형,◈원형사포 (해바라기 폐파),1166,P0000BSW,아트보드(원형/라인타공)<br>9T x 600 x 1200<br>낱장포장,31.76,1500.0000000000
(1)800서랍레일300,◈철레일300(서랍레일) 3단 고급★,1289,P0000BXP,미송(라디에타파인)<br>60x70x3600<br>핸드레일,37.5,4000.0000000000
(1)800서랍레일350,◈철레일350(서랍레일) 3단 고급★,983,P0000BLV,3단 고급 서랍레일<br>피스포함,35.71,4500.0000000000
(1)800서랍레일400,◈철레일400(서랍레일) 3단 고급★,1279,P0000BXF,오크 핸드레일<br>40x70x3600 반달<br>60x70x3600 식빵,38.57,4800.0000000000
(1)800서랍레일450,◈철레일450(서랍레일) 3단 고급★,1279,P0000BXF,오크 핸드레일<br>40x70x3600 반달<br>60x70x3600 식빵,32.14,5000.0000000000
(1)800서랍레일피스,◈서랍레일피스 3*16,983,P0000BLV,3단 고급 서랍레일<br>피스포함,60.0,15.0000000000
(1)800석고본드,◈석고본드 (25KG),1244,P0000BVW,몰탈 접착 증강제 G-3 본드 (15kg),64.29,12100.0000000000
(1)800스텐피스25,◈스텐피스 25mm (양날/500개),914,P0000BJE,스텐 접시 양날피스,60.0,15500.0000000000
(1)800스텐피스32,◈스텐피스 32mm (양날/300개),914,P0000BJE,스텐 접시 양날피스,60.0,13200.0000000000
(1)800스텐피스38,◈스텐피스 38mm (양날/300개),914,P0000BJE,스텐 접시 양날피스,60.0,15000.0000000000
(1)800스텐피스50,◈스텐피스 50mm (양날/200개),914,P0000BJE,스텐 접시 양날피스,60.0,13200.0000000000
(1)800스토퍼말굽,◈말굽(말발굽) 도어스토퍼 자동(SN),1865,P0000CTT,테스트,30.0,3600.0000000000
(1)800스토퍼블랙,◈일자 도어스토퍼(스프링) [블랙],1865,P0000CTT,테스트,30.0,2500.0000000000
(1)800스토퍼실버,◈일자 도어스토퍼(스프링) [실버],1865,P0000CTT,테스트,30.0,2500.0000000000
(1)800스톱바,◈행가레일(사륜) 스톱바,1400,P0000CBW,"행거레일<br>댐퍼형(30kg,50kg,80kg)",41.54,2500.0000000000
(1)800실1701GR,◈실린더 1701 GR (핀/실버),1330,P0000BZE,실린더<br>BPL-1701 GR (핀/실버),82.76,14000.0000000000
(1)800실5000BK,◈실린더 5000 BK (키/블랙) KEY,1860,P0000CTO,실린더<br>BPL-5000 BK (키/블랙) KEY,85.71,13000.0000000000
(1)800실5000GR,◈실린더 5000 GR (키/실버) KEY,1326,P0000BZA,실린더<br>BPL-5000 GR (키/실버) KEY,85.71,13000.0000000000
(1)800실5000WT,◈실린더 5000 WT (키/화이트) KEY,1861,P0000CTP,실린더<br>BPL-5000 WT (키/화이트) KEY,86.49,13000.0000000000
(1)800실5001BK,◈실린더 5001 BK (핀/블랙),1862,P0000CTQ,실린더<br>BPL-5001 BK (핀/블랙),82.76,12300.0000000000
(1)800실5001GR,◈실린더 5001 GR (핀/실버),1327,P0000BZB,실린더<br>BPL-5001 GR (핀/실버),82.76,12300.0000000000
(1)800실5001WT,◈실린더 5001 WT (핀/화이트),1863,P0000CTR,실린더<br>BPL-5001 WT (핀/화이트),83.87,12300.0000000000
(1)800실5100GR,◈실린더 5100 GR (키/실버) KEY,1328,P0000BZC,실린더<br>BPL-5100 GR (키/실버) KEY,85.71,13000.0000000000
(1)800실5101GR,◈실린더 5101 GR (핀/실버),1329,P0000BZD,실린더<br>BPL-5101 GR (핀/실버),82.76,12300.0000000000
(1)800실6401GR,◈실린더 6401 GR (핀/실버),1331,P0000BZF,실린더<br>BPL-6401 GR (핀/실버),82.76,12800.0000000000
(1)800실리B1투명,◈바이오실리콘(곰팡이 방지) 투명○,863,P0000BHF,바이오 실리콘,90.0,3200.0000000000
(1)800실리B반투명,◈바이오실리콘(곰팡이 방지) 반투명◑,863,P0000BHF,바이오 실리콘,90.0,3200.0000000000
(1)800실리B백색,◈바이오실리콘(곰팡이 방지) 백색,863,P0000BHF,바이오 실리콘,90.0,3200.0000000000
(1)800실리C백색,◈아크씰 백색 (수용성/건축용/도장가능),864,P0000BHG,수용성 실리콘(아크씰),45.0,1600.0000000000
(1)800실리골드,◈실리콘 골드 (금색),861,P0000BHD,실리콘 건,77.14,2300.0000000000
(1)800실리밤색,◈실리콘 밤색,964,P0000BLC,실리콘 마감용 헤라,67.5,2000.0000000000
(1)800실리아이보리,◈실리콘 아이보리,861,P0000BHD,실리콘 건,77.14,2000.0000000000
(1)800실리우드,◈실리콘 우드,898,P0000BIO,변성 실리콘(우레탄 실리콘),72.0,2000.0000000000
(1)800실리체리,◈실리콘 체리,964,P0000BLC,실리콘 마감용 헤라,67.5,2000.0000000000
(1)800실리콘건,◈실리콘 건,861,P0000BHD,실리콘 건,100.0,5000.0000000000
(1)800실리회색,◈실리콘 회색,964,P0000BLC,실리콘 마감용 헤라,67.5,2000.0000000000
(1)800실리흑색,◈실리콘 흑색,964,P0000BLC,실리콘 마감용 헤라,67.5,2000.0000000000
(1)800실타615,◈실타카핀 615,913,P0000BJD,"6단위<br>실타카핀(615,618,625,630)",90.0,5600.0000000000
