ecount_prod_cd,ecount_prod_des,ecount_out_price2,ecount_prev_price,cafe24_product_code,cafe24_product_name,cafe24_product_no,매칭상태,최종업데이트
(1)3001B448오징,4T X 1220mm X 2440mm,,,P0000BEC,오징어합판 (요꼬합판)1220 x 2440mm,,성공,
(1)301MDF113고밀,2.7T 일반 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF1245고밀,4.5T 일반 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF136USB,6T 일반 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF149USB,9T 일반 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF1512USB,12T 일반 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF1615USB,15T 일반 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF1718USB,18T 일반 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF1825UB,25T 일반 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF1930UB,30T 일반 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF206고밀,6T 고밀도 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF209고밀,9T 고밀도 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF2112고밀,12T 고밀도 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF2215고밀,15T 고밀도 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
(1)301MDF2318고밀,18T 고밀도 MDF,,,P0000BEB,MDF1220 x 2440mm,,성공,
