ecount_prod_cd,ecount_prod_des,ecount_out_price2,ecount_prev_price,cafe24_product_code,cafe24_product_name,cafe24_product_no,매칭상태,최종업데이트
,큐링 19 x 90 x 2700,,,,,,실패,
,큐링 19 x 90 x 3000,,,,,,실패,
,큐링 19 x 90 x 3300,,,,,,실패,
,큐링 19 x 90 x 3600,,,,,,실패,
,큐링 19 x 90 x 3900,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
,기타규격,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
,기타규격,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
,기타규격,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
,기타규격,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
,기타규격,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
,기타규격,,,,,,실패,
,캠파스 19 x 90 x 1800,,,,,,실패,
,캠파스 19 x 90 x 2100,,,,,,실패,
,캠파스 19 x 90 x 2400,,,,,,실패,
,캠파스 19 x 90 x 2700,,,,,,실패,
,캠파스 19 x 90 x 3000,,,,,,실패,
,캠파스 19 x 90 x 3300,,,,,,실패,
,캠파스 19 x 90 x 3600,,,,,,실패,
,캠파스 19 x 90 x 3900,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
,기타규격,,,,,,실패,
,19 x 90 x 2400,,,,,,실패,
,기타규격,,,,,,실패,
,60 x 70 x 3600,,,,,,실패,
,60 x 70 x 3600,,,,,,실패,
,40 x 70 x 3600,,,,,,실패,
,40 x 70 x 3600,,,,,,실패,
,36 x 60 x 3600,,,,,,실패,
,40 x 70 x 3600,,,,,,실패,
,30T x 300 x 3600,,,,,,실패,
,40 x 70 x 3600,,,,,,실패,
,30T x 300 x 3600,,,,,,실패,
,36 x 60 x 3600,,,,,,실패,
,40 x 70 x 3600,,,,,,실패,
,60 x 70 x 3600,,,,,,실패,
,라보,,,,,,실패,
,1톤,,,,,,실패,
,1.4톤,,,,,,실패,
,3.5톤,,,,,,실패,
,5톤,,,,,,실패,
,5천원 추가,,,,,,실패,
,1만원 추가,,,,,,실패,
(1)800타카JST18,18,,,P0000BWM,"OST단위타카핀(18,25,32,38,45,50,64)",,성공,
(1)800타카JST25,25,,,P0000BWM,"OST단위타카핀(18,25,32,38,45,50,64)",,성공,
(1)800타카JST32,32,,,P0000BWM,"OST단위타카핀(18,25,32,38,45,50,64)",,성공,
(1)800타카JST38,38,,,P0000BWM,"OST단위타카핀(18,25,32,38,45,50,64)",,성공,
(1)800타카JST45,45,,,P0000BWM,"OST단위타카핀(18,25,32,38,45,50,64)",,성공,
(1)800타카JST50,50,,,P0000BWM,"OST단위타카핀(18,25,32,38,45,50,64)",,성공,
(1)800타카JST64,64,,,P0000BWM,"OST단위타카핀(18,25,32,38,45,50,64)",,성공,
(2)300SK자작하도448,자작 합판 4T (S/BB) UV하도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
(2)300SK자작하도648,자작 합판 6T (S/BB) UV하도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
(2)300SK자작하도948,자작 합판 9T (S/BB) UV하도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
(2)300SK자작하도1248,자작 합판 12T (S/BB) UV하도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
(2)300SK자작하도1548,자작 합판 15T (S/BB) UV하도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
(2)300SK자작하도1848,자작 합판 18T (S/BB) UV하도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
,----------,,,,,,실패,
(2)300SK자작상도448,자작 합판 4T (S/BB) UV상도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
(2)300SK자작상도648,자작 합판 6T (S/BB) UV상도,,,P0000BWI,UV코팅 자작합판상도/하도,,성공,
